Description,Location,Price,Bedrooms,Bathrooms,Floor_area,Land_area,Latitude,Longitude,Cluster,region
"Big 1-Bedroom Unit for Sale in Amisa Private Residences - Tower D, Lapu-Lapu City, Ce...","Mactan, Lapu-Lapu",10733775,1,1,50.0,0.0,10.3051555,124.0112408,0,Central Visayas
"3-Bedroom Condo Unit for Sale at Camella Manors - Northpoint in Bajada, Davao City","Barangay 19-B, Davao",10239286,3,1,57.0,0.0,7.0928915,125.6056916,0,Davao
"4-Bedroom House for Sale at Camella Quezon in Brgy. Isabang, Tayabas City, Quezon | D...","Isabang, Tayabas",8011000,4,0,85.0,199.0,13.962775,121.564527,0,Calabarzon
"5-Bedroom House for Sale at Camella Quezon in Brgy. Isabang, Tayabas City, Quezon | G...","Isabang, Tayabas",11553000,5,0,166.0,251.0,13.962775,121.564527,0,Calabarzon
"2-Bedroom House for Sale at Camella Balanga Heights in Balanga City, Bataan | Crisell...","Cupang Proper, Balanga",2958000,2,0,40.0,63.0,14.666375,120.54822,0,Central Luzon
"2-Bedroom House for Sale at Camella Balanga Heights in Balanga City, Bataan | Arielle...","Cupang Proper, Balanga",2936000,2,0,36.0,63.0,14.666375,120.54822,0,Central Luzon
"5-Bedroom House for Sale at Camella Monticello in San Jose del Monte, Bulacan | Freya...","Sapang Palay, San Jose del Monte",8407000,5,0,142.0,143.0,14.8450503,121.0612785,0,Central Luzon
"2-Bedroom Condo Unit (6H) for Sale in One Sierra, EDSA, Mandaluyong City, Metro Manil...","Highway Hills, Mandaluyong",16806000,2,2,84.0,0.0,14.578255,121.052143,0,National Capital Region
"2-Bedroom Unit (N56B) for Sale in Maven at Capitol Commons, Pasig City","Ortigas CBD, Pasig",17641900,2,2,74.0,0.0,14.583771,121.059675,0,National Capital Region
"The Glaston Tower - Office Unit, Prime Unit (30N) for Sale in Ortigas East, Pasig Cit...","Ugong, Pasig",28344000,0,0,101.0,0.0,14.587964,121.079045,0,National Capital Region
"Studio Condo Unit (22E) for Sale in One Sierra, EDSA, Mandaluyong City, Metro Manila","Highway Hills, Mandaluyong",8034705,1,1,33.0,0.0,14.578255,121.052143,0,National Capital Region
"2-Bedroom Condo (Unit J) for Sale in Suntrust Shanata, Novaliches Quezon City","Novaliches, Quezon City",6363100,2,1,35.0,0.0,14.68155,121.0198,0,National Capital Region
"3BR Suite Condo Unit for Sale in Lucima, Cebu Business Park, Cebu City | Pre-selling","Hippodromo, Cebu",22176571,3,3,128.0,0.0,10.315,123.90593065695,0,Central Visayas
"2-Storey 3BR House and Lot (Wharton Model) for Sale in Washington Place, Dasmarinas, ...","Sampaloc II, Dasmarinas",5692980,3,0,73.0,140.0,14.287385,120.964753,0,Calabarzon
